filename,fold,target,category,esc10,src_file,take
1-19111-A-24.wav,1,24,coughing,FALSE,19111,A
1-19118-A-24.wav,1,24,coughing,FALSE,19118,A
1-30830-A-24.wav,1,24,coughing,FALSE,30830,A
1-52266-A-24.wav,1,24,coughing,FALSE,52266,A
1-52323-A-24.wav,1,24,coughing,FALSE,52323,A
1-53663-A-24.wav,1,24,coughing,FALSE,53663,A
1-58792-A-24.wav,1,24,coughing,FALSE,58792,A
2-108017-A-24.wav,2,24,coughing,FALSE,108017,A
2-123896-A-24.wav,2,24,coughing,FALSE,123896,A
2-85292-A-24.wav,2,24,coughing,FALSE,85292,A
2-87412-A-24.wav,2,24,coughing,FALSE,87412,A
2-87794-A-24.wav,2,24,coughing,FALSE,87794,A
2-87795-A-24.wav,2,24,coughing,FALSE,87795,A
2-87799-A-24.wav,2,24,coughing,FALSE,87799,A
2-98676-A-24.wav,2,24,coughing,FALSE,98676,A
3-125418-A-24.wav,3,24,coughing,FALSE,125418,A
3-132601-A-24.wav,3,24,coughing,FALSE,132601,A
3-142604-A-24.wav,3,24,coughing,FALSE,142604,A
3-145487-A-24.wav,3,24,coughing,FALSE,145487,A
3-146873-A-24.wav,3,24,coughing,FALSE,146873,A
3-149042-A-24.wav,3,24,coughing,FALSE,149042,A
3-151212-A-24.wav,3,24,coughing,FALSE,151212,A
3-151213-A-24.wav,3,24,coughing,FALSE,151213,A
4-152995-A-24.wav,4,24,coughing,FALSE,152995,A
4-154443-A-24.wav,4,24,coughing,FALSE,154443,A
4-155650-A-24.wav,4,24,coughing,FALSE,155650,A
4-155650-B-24.wav,4,24,coughing,FALSE,155650,B
4-157296-A-24.wav,4,24,coughing,FALSE,157296,A
4-169726-A-24.wav,4,24,coughing,FALSE,169726,A
4-171396-A-24.wav,4,24,coughing,FALSE,171396,A
4-177835-A-24.wav,4,24,coughing,FALSE,177835,A
5-178997-A-24.wav,5,24,coughing,FALSE,178997,A
5-184871-A-24.wav,5,24,coughing,FALSE,184871,A
5-204604-A-24.wav,5,24,coughing,FALSE,204604,A
5-207681-A-24.wav,5,24,coughing,FALSE,207681,A
5-208761-A-24.wav,5,24,coughing,FALSE,208761,A
5-209719-A-24.wav,5,24,coughing,FALSE,209719,A
5-211197-A-24.wav,5,24,coughing,FALSE,211197,A
5-251489-A-24.wav,5,24,coughing,FALSE,251489,A
1-63679-A-24.wav,1,24,coughing,FALSE,63679,A
